Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
165,Marcus Johnson,IND,WR,1,CIN,0.31,0.2,0,3.2,0,0,0,0,0,0,0,0,0,0,0.3,0.32
166,Ray-Ray McCloud,BUF,WR,1,BAL,0.34,0.2,0,2.7,0,0,0,0,0,0.1,0,0,0,0,0.3,0.28
167,Marvin Hall,ATL,WR,1,PHI,0.17,0.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0.3,0.26
167,Noah Brown,DAL,WR,1,CAR,0.32,0.2,0,2.6,0,0,0,0,0,0,0,0,0,0,0.3,0.26
169,Maurice Harris,WAS,WR,1,ARI,0.34,0.2,0,2.5,0,0,0,0,0,0,0,0,0,0,0.2,0.25
170,Darius Jennings,TEN,WR,1,MIA,0.15,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0.2,0.21
170,Stacy Coley,MIN,WR,1,SF,0.13,0.1,0,2.1,0,0,0,0,0,0,0,0,0,0,0.2,0.21
172,Tanner McEvoy,MIA,WR,1,TEN,0.17,0.1,0,1.7,0,0,0,0,0,0,0,0,0,0,0.2,0.17
173,Robert Foster,BUF,WR,1,BAL,0.17,0.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0.2,0.16
174,Matthew Slater,NE,WR,1,HOU,0.17,0.1,0,1.5,0,0,0,0,0,0,0,0,0,0,0.2,0.15
175,Damion Ratley,CLE,WR,1,PIT,0.13,0.1,0,1.3,0,0,0,0,0,0.1,0,0,0,0,0.1,0.14
176,Kaelin Clay,NYG,WR,1,JAX,0.16,0.1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.03
177,Alshon Jeffery,PHI,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Jaleel Scott,BAL,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Ricardo Louis,CLE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Michael Campanaro,TEN,WR,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Braxton Berrios,NE,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Dan Arnold,NO,WR,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
