Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
DeMarco Murray,DAL,13124,PHI,2,,25,0,1.0,10.5,5,,,13.0,0.0,2.0,0.2,4600,1.0,5,0,53,,2015
Shaun Draughn,TEN,13158,CLE,2,,4,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,7200,1.0,0,0,0,,2015
Roy Helu,BAL,13163,OAK,2,,6,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Matt Asiata,DET,13255,MIN,2,,17,0,1.0,0.8,0,,,2.0,0.0,8.0,4.0,3000,0.0,0,0,0,,2015
Jacquizz Rodgers,ARI,13299,CHI,2,,8,0,1.0,0.8,0,,,2.0,0.0,8.0,4.0,3400,1.0,0,0,0,,2015
Mark Ingram,TB,13337,NO,2,,11,1,1.0,13.8,3,,,16.0,1.0,53.0,3.3,0,0.0,3,0,5,,2015
Anthony Sherman,DEN,13418,KC,2,,14,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,4200,1.0,0,0,0,,2015
Bruce Miller,PIT,13446,SF,2,,2,0,0.0,1.7,1,,,0.0,0.0,0.0,0.0,3000,1.0,2,0,7,,2015
Tyler Clutts,PHI,13527,DAL,2,,28,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Chris Polk,CAR,13735,HOU,2,,19,0,0.0,6.7,2,,,14.0,0.0,38.0,2.7,3000,1.0,8,0,9,,2015
Brandon Bolden,BUF,13741,NE,2,,10,0,0.0,1.3,1,,,1.0,0.0,1.0,1.0,7000,0.0,1,0,2,,2015
Lamar Miller,JAX,13791,MIA,2,,27,0,0.0,9.2,5,,,10.0,0.0,14.0,1.4,3000,1.0,6,0,28,,2015
Marcus Thigpen,NE,13800,BUF,2,,12,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
