games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
1,2015,Alfred Morris,WAS,1,MIA,25,121,0,0,0,31,1.0,1.0,15.1
2,2015,Alfred Morris,WAS,2,LAR,18,59,0,2,13,23,1.0,1.0,9.2
3,2015,Alfred Morris,WAS,3,NYG,6,19,0,0,0,24,0.0,0.0,1.9
4,2015,Alfred Morris,WAS,4,PHI,17,62,0,3,3,28,1.0,1.0,8.5
5,2015,Alfred Morris,WAS,5,ATL,8,15,0,0,0,30,0.0,0.0,1.5
6,2015,Alfred Morris,WAS,6,NYJ,11,21,0,1,11,5,0.0,0.0,4.2
7,2015,Alfred Morris,WAS,7,TB,6,5,0,1,2,11,1.0,1.0,1.7
8,2015,Alfred Morris,WAS,9,NE,4,10,0,0,0,12,0.0,0.0,1.0
9,2015,Alfred Morris,WAS,10,NO,15,92,0,3,14,29,1.0,1.0,13.6
10,2015,Alfred Morris,WAS,11,CAR,2,0,0,0,0,19,0.0,1.0,0.0
11,2015,Alfred Morris,WAS,12,NYG,23,78,0,1,12,24,1.0,1.0,10.0
12,2015,Alfred Morris,WAS,13,DAL,6,12,0,0,0,25,1.0,1.0,1.2
13,2015,Alfred Morris,WAS,14,CHI,11,24,1,1,0,22,0.0,1.0,8.4
14,2015,Alfred Morris,WAS,15,BUF,14,84,0,0,0,10,1.0,1.0,8.4
15,2015,Alfred Morris,WAS,16,PHI,17,49,0,1,0,28,0.0,1.0,4.9
